Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
SEC7,ARL1,McDonold CM and Fromme JC (2014)-25220393-Reconstituted Complex,physical,manually curated,Hit,Reconstituted Complex,25220393,McDonold CM and Fromme JC (2014) Four GTPases differentially regulate the Sec7 Arf-GEF to direct traffic at the trans-golgi network. Dev Cell 30(6):759-67,9267,84100
MIC60,SAM50,"Körner C, et al. (2012)-22496419-Co-fractionation",physical,manually curated,Hit,Co-fractionation,22496419,"Körner C, et al. (2012) The C-terminal domain of Fcj1 is required for formation of crista junctions and interacts with the TOB/SAM complex in mitochondria. Mol Biol Cell 23(11):2143-55",10989,25813
NUD1,CDC5,"Park CJ, et al. (2008)-18178775-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,18178775,"Park CJ, et al. (2008) Requirement for the budding yeast polo kinase Cdc5 in proper microtubule growth and dynamics. Eukaryot Cell 7(3):444-53",7097,1263
GCN5,ADA2,"Lee KK, et al. (2011)-21734642-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,21734642,"Lee KK, et al. (2011) Combinatorial depletion analysis to assemble the network architecture of the SAGA and ADA chromatin remodeling complexes. Mol Syst Biol 7:503",9031,93624
CDC12,SHS1,"Mino A, et al. (1998)-9790978-Two-hybrid",physical,manually curated,Bait,Two-hybrid,9790978,"Mino A, et al. (1998) Shs1p: a novel member of septin that interacts with spa2p, involved in polarized growth in saccharomyces cerevisiae. Biochem Biophys Res Commun 251(3):732-6",55752,55752
HHT2,HTB1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8290,255626
DUN1,PGM2,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",79012,55276
SCP160,RPL9A,"Delaveau T, et al. (2016)-27580715-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,27580715,"Delaveau T, et al. (2016) Tma108, a putative M1 aminopeptidase, is a specific nascent chain-associated protein in Saccharomyces cerevisiae. Nucleic Acids Res 44(18):8826-8841",80114,6133
SRO9,MOG1,"Oliete-Calvo P, et al. (2018)-30249596-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,30249596,"Oliete-Calvo P, et al. (2018) A role for Mog1 in H2Bub1 and H3K4me3 regulation affecting RNAPII transcription and mRNA export. EMBO Rep 19(11)",23367,29098
PRE4,RPN8,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",5692,10980
HCM1,SCH9,"Rodríguez-Colman MJ, et al. (2013)-23481038-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,23481038,"Rodríguez-Colman MJ, et al. (2013) The FOX transcription factor Hcm1 regulates oxidative metabolism in response to early nutrient limitation in yeast. Role of Snf1 and Tor1/Sch9 kinases. Biochim Biophys Acta 1833(8):2004-15",100132074,207
DHH1,CDS1,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",1656,8760
HHT1,CIN8,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8968,55605
MSB3,ATG1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",26000,9641
SLA1,MIG1,"Tonikian R, et al. (2009)-19841731-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,19841731,"Tonikian R, et al. (2009) Bayesian modeling of the yeast SH3 domain interactome predicts spatiotemporal dynamics of endocytosis proteins. PLoS Biol 7(10):e1000218",50618,1958
HIR1,HIR3,"Prochasson P, et al. (2005)-16264190-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,16264190,"Prochasson P, et al. (2005) The HIR corepressor complex binds to nucleosomes generating a distinct protein/DNA complex resistant to remodeling by SWI/SNF. Genes Dev 19(21):2534-9",7290,23523
CDC24,RGA2,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",121512,58504
SSB2,RAS1,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",3310,4893
TUB4,SPR3,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",27175,989
TIF4631,RHO1,"Jain S, et al. (2016)-26777405-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,26777405,"Jain S, et al. (2016) ATPase-Modulated Stress Granules Contain a Diverse Proteome and Substructure. Cell 164(3):487-98",1981,27289
HHT2,HHF2,"Johnson A, et al. (2009)-19782027-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,19782027,"Johnson A, et al. (2009) Reconstitution of heterochromatin-dependent transcriptional gene silencing. Mol Cell 35(6):769-81",126961,8365
HHF2,CHD1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8366,1107
YAK1,DNM1,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",8444,26052
GGA2,CRM1,"Jensen TH, et al. (2000)-11027275-Two-hybrid",physical,manually curated,Hit,Two-hybrid,11027275,"Jensen TH, et al. (2000) Identification of novel Saccharomyces cerevisiae proteins with nuclear export activity: cell cycle-regulated transcription factor ace2p shows cell cycle-independent nucleocytoplasmic shuttling. Mol Cell Biol 20(21):8047-58",23163,7514
SSO1,SEC23,"Graef M, et al. (2013)-23904270-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,23904270,"Graef M, et al. (2013) ER exit sites are physical and functional core autophagosome biogenesis components. Mol Biol Cell 24(18):2918-31",6804,10484
HHT2,NTO1,"Shi X, et al. (2007)-17142463-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,17142463,"Shi X, et al. (2007) Proteome-wide analysis in Saccharomyces cerevisiae identifies several PHD fingers as novel direct and selective binding modules of histone H3 methylated at either lysine 4 or lysine 36. J Biol Chem 282(4):2450-5",8968,8028
CDC28,CLB3,"Wong J, et al. (2007)-17634282-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,17634282,"Wong J, et al. (2007) A protein interaction map of the mitotic spindle. Mol Biol Cell 18(10):3800-9",1017,9134
HHT1,CHD1,"Farnung L, et al. (2017)-29019976-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,29019976,"Farnung L, et al. (2017) Nucleosome-Chd1 structure and implications for chromatin remodelling. Nature 550(7677):539-542",8356,55636
CDC42,BEM2,"Gong T, et al. (2013)-23264647-Two-hybrid",physical,manually curated,Bait,Two-hybrid,23264647,"Gong T, et al. (2013) Control of polarized growth by the Rho family GTPase Rho4 in budding yeast: requirement of the N-terminal extension of Rho4 and regulation by the Rho GTPase-activating protein Bem2. Eukaryot Cell 12(2):368-77",5881,64333
GIP3,HTA2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",147945,55506
SER33,SER3,"Yu H, et al. (2008)-18719252-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,18719252,"Yu H, et al. (2008) High-quality binary protein interaction map of the yeast interactome network. Science 322(5898):104-10",9380,1487
HHT1,SET2,Kim T and Buratowski S (2009)-19379692-Affinity Capture-Western,physical,manually curated,Hit,Affinity Capture-Western,19379692,Kim T and Buratowski S (2009) Dimethylation of H3K4 by Set1 recruits the Set3 histone deacetylase complex to 5' transcribed regions. Cell 137(2):259-72,8356,10919
BRR2,SMB1,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",23020,6638
RNA1,GIN4,"Fasolo J, et al. (2011)-21460040-Reconstituted Complex",physical,high-throughput,Hit,Reconstituted Complex,21460040,"Fasolo J, et al. (2011) Diverse protein kinase interactions identified by protein microarrays reveal novel connections between cellular processes. Genes Dev 25(7):767-78",5905,2011
CBK1,CBK1,"Nelson B, et al. (2003)-12972564-Two-hybrid",physical,manually curated,Hit,Two-hybrid,12972564,"Nelson B, et al. (2003) RAM: a conserved signaling network that regulates Ace2p transcriptional activity and polarized morphogenesis. Mol Biol Cell 14(9):3782-803",55561,9475
HHT2,TAF4,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8358,6875
HOG1,CRM1,"Ferrigno P, et al. (1998)-9755161-Co-localization",physical,manually curated,Bait,Co-localization,9755161,"Ferrigno P, et al. (1998) Regulated nucleo/cytoplasmic exchange of HOG1 MAPK requires the importin beta homologs NMD5 and XPO1. EMBO J 17(19):5606-14",6300,7514
MAK21,ERB1,"Hierlmeier T, et al. (2013)-23209026-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,23209026,"Hierlmeier T, et al. (2013) Rrp5p, Noc1p and Noc2p form a protein module which is part of early large ribosomal subunit precursors in S. cerevisiae. Nucleic Acids Res 41(2):1191-210",10153,23246
HHF1,PSH1,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",8367,10739
SSO2,SSO1,"Liu S, et al. (2007)-17714435-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,17714435,"Liu S, et al. (2007) In vitro fusion catalyzed by the sporulation-specific t-SNARE light-chain Spo20p is stimulated by phosphatidic acid. Traffic 8(11):1630-43",8417,23673
HTA2,HTB1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",8330,8341
PRP22,DHH1,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",8449,11218
CDC11,CDC12,"Nagaraj S, et al. (2008)-18541672-Two-hybrid",physical,manually curated,Hit,Two-hybrid,18541672,"Nagaraj S, et al. (2008) Role of nucleotide binding in septin-septin interactions and septin localization in Saccharomyces cerevisiae. Mol Cell Biol 28(16):5120-37",23176,4735
CDC11,CDC3,"Lee PR, et al. (2002)-12215547-Two-hybrid",physical,manually curated,Bait,Two-hybrid,12215547,"Lee PR, et al. (2002) Bni5p, a septin-interacting protein, is required for normal septin function and cytokinesis in Saccharomyces cerevisiae. Mol Cell Biol 22(19):6906-20",5413,346288
SMC1,MET28,"Newman JR, et al. (2000)-11087867-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,11087867,"Newman JR, et al. (2000) A computationally directed screen identifying interacting coiled coils from Saccharomyces cerevisiae. Proc Natl Acad Sci U S A 97(24):13203-8",27127,1052
SNF2,HHT1,"Chatterjee N, et al. (2011)-21749977-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,21749977,"Chatterjee N, et al. (2011) Histone H3 tail acetylation modulates ATP-dependent remodeling through multiple mechanisms. Nucleic Acids Res 39(19):8378-91",6595,8352
SSC1,RIM1,"Böttinger L, et al. (2015)-25792736-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,25792736,"Böttinger L, et al. (2015) Mitochondrial heat shock protein (Hsp) 70 and Hsp10 cooperate in the formation of Hsp60 complexes. J Biol Chem 290(18):11611-22",3313,6742
COX3,COX13,"Franco LVR, et al. (2018)-30224355-Co-purification",physical,manually curated,Hit,Co-purification,30224355,"Franco LVR, et al. (2018) Cox2p of yeast cytochrome oxidase assembles as a stand-alone subunit with the Cox1p and Cox3p modules. J Biol Chem 293(43):16899-16911",4514,1337
AAD6,PSY2,"Uetz P, et al. (2000)-10688190-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,10688190,"Uetz P, et al. (2000) A comprehensive analysis of protein-protein interactions in Saccharomyces cerevisiae. Nature 403(6770):623-7",8574,57223
HDA1,TIF6,"Gavin AC, et al. (2002)-11805826-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805826,"Gavin AC, et al. (2002) Functional organization of the yeast proteome by systematic analysis of protein complexes. Nature 415(6868):141-7",51564,3692
TIF4632,HEK2,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",1981,3190
BUD27,BCK1,"Fasolo J, et al. (2011)-21460040-Reconstituted Complex",physical,high-throughput,Hit,Reconstituted Complex,21460040,"Fasolo J, et al. (2011) Diverse protein kinase interactions identified by protein microarrays reveal novel connections between cellular processes. Genes Dev 25(7):767-78",84246,4214
LAS17,SLA1,"Warren DT, et al. (2002)-11950888-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,11950888,"Warren DT, et al. (2002) Sla1p couples the yeast endocytic machinery to proteins regulating actin dynamics. J Cell Sci 115(Pt 8):1703-15",7454,6453
SSB1,SSE1,"Abrams JL, et al. (2014)-24671421-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,24671421,"Abrams JL, et al. (2014) Hierarchical functional specificity of cytosolic heat shock protein 70 (Hsp70) nucleotide exchange factors in yeast. J Biol Chem 289(19):13155-67",3311,10525
PHO4,PHO2,"Hirst K, et al. (1994)-7957107-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,7957107,"Hirst K, et al. (1994) The transcription factor, the Cdk, its cyclin and their regulator: directing the transcriptional response to a nutritional signal. EMBO J 13(22):5410-20",388585,3218
HHF2,SRM1,"Dilworth DJ, et al. (2005)-16365162-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,16365162,"Dilworth DJ, et al. (2005) The mobile nucleoporin Nup2p and chromatin-bound Prp20p function in endogenous NPC-mediated transcriptional control. J Cell Biol 171(6):955-65",8360,8924
HTB1,NAP1,"McBryant SJ, et al. (2003)-12928440-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,12928440,"McBryant SJ, et al. (2003) Preferential binding of the histone (H3-H4)2 tetramer by NAP1 is mediated by the amino-terminal histone tails. J Biol Chem 278(45):44574-83",8343,4676
HEK2,HXT15,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",3190,11182
TAF10,SPT15,"Fischbeck JA, et al. (2002)-12524336-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,12524336,"Fischbeck JA, et al. (2002) SPN1, a conserved gene identified by suppression of a postrecruitment-defective yeast TATA-binding protein mutant. Genetics 162(4):1605-16",6881,6908
PHO4,PHO2,Sung MK and Huh WK (2010)-20828586-PCA,physical,manually curated,Hit,PCA,20828586,Sung MK and Huh WK (2010) In vivo quantification of protein-protein interactions in Saccharomyces cerevisiae using bimolecular fluorescence complementation assay. J Microbiol Methods 83(2):194-201,8553,3216
MYO1,PDI1,"Santiago E, et al. (2016)-26921299-PCA",physical,manually curated,Bait,PCA,26921299,"Santiago E, et al. (2016) Novel Interactome of Saccharomyces cerevisiae Myosin Type II Identified by a Modified Integrated Membrane Yeast Two-Hybrid (iMYTH) Screen. G3 (Bethesda) 6(5):1469-74",4620,23071
HTA2,HHF2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8330,8365
CMD1,HOG1,"Kim J, et al. (2016)-27421986-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,27421986,"Kim J, et al. (2016) Regulation of MAP kinase Hog1 by calmodulin during hyperosmotic stress. Biochim Biophys Acta 1863(11):2551-2559",9478,6300
SSB2,TAF6,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",6782,10629
SUP35,SUP35,"Sabaté R, et al. (2012)-22176525-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,22176525,"Sabaté R, et al. (2012) Temperature dependence of the aggregation kinetics of Sup35 and Ure2p yeast prions. Biomacromolecules 13(2):474-83",23708,10767
STI1,HSP82,"Röhl A, et al. (2015)-25851214-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,25851214,"Röhl A, et al. (2015) Hsp90 regulates the dynamics of its cochaperone Sti1 and the transfer of Hsp70 between modules. Nat Commun 6:6655",10953,3324
PUF3,GCN4,"Freeberg MA, et al. (2013)-23409723-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,23409723,"Freeberg MA, et al. (2013) Pervasive and dynamic protein binding sites of the mRNA transcriptome in Saccharomyces cerevisiae. Genome Biol 14(2):R13",23369,3727
MLP2,PRE7,"Bretes H, et al. (2014)-24500206-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,24500206,"Bretes H, et al. (2014) Sumoylation of the THO complex regulates the biogenesis of a subset of mRNPs. Nucleic Acids Res 42(8):5043-58",84700,5689
ACT1,HHF1,"Gerhold CB, et al. (2012)-22977180-Affinity Capture-Luminescence",physical,manually curated,Bait,Affinity Capture-Luminescence,22977180,"Gerhold CB, et al. (2012) Structure of Actin-related protein 8 and its contribution to nucleosome binding. Nucleic Acids Res 40(21):11036-46",440915,8359
SER3,SER33,"Brooks MA, et al. (2010)-20826334-Affinity Capture-Western",physical,high-throughput,Hit,Affinity Capture-Western,20826334,"Brooks MA, et al. (2010) Systematic bioinformatics and experimental validation of yeast complexes reduces the rate of attrition during structural investigations. Structure 18(9):1075-82",1487,9380
SSB2,PTP3,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",3311,26469
GTT1,PDR12,"Snider J, et al. (2013)-23831759-PCA",physical,manually curated,Hit,PCA,23831759,"Snider J, et al. (2013) Mapping the functional yeast ABC transporter interactome. Nat Chem Biol 9(9):565-72",54332,9619
TSA1,SSB2,"Irokawa H, et al. (2016)-27634403-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,27634403,"Irokawa H, et al. (2016) Redox-dependent Regulation of Gluconeogenesis by a Novel Mechanism Mediated by a Peroxidatic Cysteine of Peroxiredoxin. Sci Rep 6:33536",7001,3310
SEC6,SEC5,"Luo G, et al. (2014)-25232005-Co-localization",physical,manually curated,Hit,Co-localization,25232005,"Luo G, et al. (2014) The role of Sec3p in secretory vesicle targeting and exocyst complex assembly. Mol Biol Cell 25(23):3813-22",7127,55770
HHF2,GCN5,Syntichaki P and Thireos G (1998)-9733731-Biochemical Activity,physical,manually curated,Hit,Biochemical Activity,9733731,Syntichaki P and Thireos G (1998) The Gcn5.Ada complex potentiates the histone acetyltransferase activity of Gcn5. J Biol Chem 273(38):24414-9,8365,8850
MYO2,SMY1,"Eves PT, et al. (2012)-22753895-Two-hybrid",physical,manually curated,Hit,Two-hybrid,22753895,"Eves PT, et al. (2012) Overlap of cargo binding sites on myosin V coordinates the inheritance of diverse cargoes. J Cell Biol 198(1):69-85",4646,26153
HHT1,SIR2,"Martino F, et al. (2009)-19217406-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,19217406,"Martino F, et al. (2009) Reconstitution of yeast silent chromatin: multiple contact sites and O-AADPR binding load SIR complexes onto nucleosomes in vitro. Mol Cell 33(3):323-34",8356,23411
MLC1,CMD1,"Yu H, et al. (2008)-18719252-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,18719252,"Yu H, et al. (2008) High-quality binary protein interaction map of the yeast interactome network. Science 322(5898):104-10",4637,801
HHF2,HTA2,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",8366,8331
RSP5,HTA1,"O'Connor HF, et al. (2015)-26508657-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,26508657,"O'Connor HF, et al. (2015) Ubiquitin-Activated Interaction Traps (UBAITs) identify E3 ligase binding partners. EMBO Rep 16(12):1699-712",57154,3013
HTA1,HTA2,"Grant PA, et al. (1999)-10026213-Co-purification",physical,manually curated,Bait,Co-purification,10026213,"Grant PA, et al. (1999) Expanded lysine acetylation specificity of Gcn5 in native complexes. J Biol Chem 274(9):5895-900",8332,8332
TOM1,RPL8B,"Sung MK, et al. (2016)-27552055-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,27552055,"Sung MK, et al. (2016) A conserved quality-control pathway that mediates degradation of unassembled ribosomal proteins. Elife 5",10075,6130
SWI3,CCR4,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",6601,57472
SSB2,YAP1,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",3311,286319
CDC11,CDC10,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",23176,10801
PTP2,HOG1,"Wurgler-Murphy SM, et al. (1997)-9032256-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,9032256,"Wurgler-Murphy SM, et al. (1997) Regulation of the Saccharomyces cerevisiae HOG1 mitogen-activated protein kinase by the PTP2 and PTP3 protein tyrosine phosphatases. Mol Cell Biol 17(3):1289-97",11099,5600
RGD1,PDE2,"MacGilvray ME, et al. (2018)-29738528-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,29738528,"MacGilvray ME, et al. (2018) Network inference reveals novel connections in pathways regulating growth and defense in the yeast salt response. PLoS Comput Biol 13(5):e1006088",257106,5142
TPK1,GIP2,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",5593,79660
NPR1,TOR1,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",30811,23049
HTA1,NAP1,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",85235,4676
BMH1,HHT1,"Walter W, et al. (2008)-18268010-Protein-peptide",physical,manually curated,Hit,Protein-peptide,18268010,"Walter W, et al. (2008) 14-3-3 interaction with histone H3 involves a dual modification pattern of phosphoacetylation. Mol Cell Biol 28(8):2840-9",7534,8350
PHO85,PHO4,"Wilson WA, et al. (1999)-10490639-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,10490639,"Wilson WA, et al. (1999) Substrate targeting of the yeast cyclin-dependent kinase Pho85p by the cyclin Pcl10p. Mol Cell Biol 19(10):7020-30",5127,57801
PGM1,HOG1,"MacGilvray ME, et al. (2018)-29738528-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,29738528,"MacGilvray ME, et al. (2018) Network inference reveals novel connections in pathways regulating growth and defense in the yeast salt response. PLoS Comput Biol 13(5):e1006088",5239,5603
PHO4,PHO2,"Yang J, et al. (1997)-12219216-Two-hybrid",physical,manually curated,Hit,Two-hybrid,12219216,"Yang J, et al. (1997) Analysis of Activation Activity of Yeast PHO2, PHO4 Protein and Their Interaction. Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai) 29(2):122-128",8553,3651
SNC2,SSO1,"Zhang H, et al. (2009)-19591838-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,19591838,"Zhang H, et al. (2009) A computationally guided protein-interaction screen uncovers coiled-coil interactions involved in vesicular trafficking. J Mol Biol 392(1):228-41",10791,8676
MYO3,CMD1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",283446,808
THS1,SSB1,"Gong Y, et al. (2009)-19536198-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,19536198,"Gong Y, et al. (2009) An atlas of chaperone-protein interactions in Saccharomyces cerevisiae: implications to protein folding pathways in the cell. Mol Syst Biol 5:275",6897,6782
